,Subject ID,GRE APT Verb Percentile,GRE APT Quant Percentile,GRE APT Analyt Percentile,tiers,admit_code,GPA_Merged,Master's Held,Doctorate Held,Bachelor's Held,Special Degree Held,Count: Arts,Count: GAE,Count: Research,Count: Service,Count: Leadership,Count: Leadership,Count: Competition,Gender,First Generation,work_experience_int
93,1323,69,31,30,1.0,R,3.41,0,0,0,0,1,0,0,0,0,0,0,Female,0.0,0.0
94,1325,21,4,11,4.0,D,3.7,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
95,1328,96,43,30,3.0,R,3.65,0,0,0,0,0,3,0,0,0,0,0,Female,0.0,0.0
96,1329,80,90,92,1.0,R,3.05,0,0,0,0,3,0,0,0,0,0,0,Female,0.0,0.0
97,1330,86,52,99,4.0,A,3.97,0,0,0,0,0,1,0,0,1,1,0,Female,0.0,2134.0
98,1331,69,86,11,4.0,R,3.0,0,0,0,0,0,0,0,0,0,0,0,Male,0.0,0.0
99,1332,73,35,49,2.0,A,4.0,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
100,1333,83,39,92,4.0,R,3.79,0,0,0,0,0,1,0,0,0,0,0,Female,0.0,0.0
101,1334,65,98,30,4.0,R,4.0,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
102,1335,89,48,49,1.0,R,3.76,0,0,0,0,0,0,2,0,0,0,0,Female,0.0,0.0
103,1336,53,97,11,1.0,R,3.6,0,0,0,0,0,1,1,0,0,0,0,Female,0.0,0.0
104,1337,89,77,73,1.0,A,3.77,0,0,1,0,0,1,0,0,0,0,0,Male,0.0,427.0
105,1338,89,43,73,2.0,A,3.77,0,0,0,0,0,1,0,0,0,0,0,Female,0.0,0.0
106,1339,99,60,96,1.0,R,3.43,1,0,0,0,1,1,0,0,1,1,0,Male,0.0,0.0
107,1340,44,92,30,4.0,R,3.0,0,0,0,0,0,0,0,0,0,0,0,Male,0.0,0.0
108,1341,80,48,49,4.0,A,3.65,0,0,1,0,0,1,0,0,0,0,0,Female,0.0,0.0
109,1342,77,81,11,4.0,A,3.0,0,0,0,0,0,0,0,0,0,0,0,Male,0.0,0.0
110,1343,49,98,6,4.0,A,4.0,0,0,1,0,0,0,0,0,0,0,2,Male,0.0,212.0
111,1346,78,52,84,1.0,R,3.46,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,0.0
112,1347,71,7,20,2.0,A,3.55,1,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
113,1349,94,23,45,2.0,A,2.95,0,0,1,0,0,0,0,0,0,0,0,Male,0.0,0.0
114,1353,98,71,73,1.0,R,3.8,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
115,1355,73,20,49,2.0,A,3.39,0,0,1,0,0,0,0,1,0,0,0,Female,1.0,1521.0
116,1356,99,60,49,1.0,A,3.76,0,0,1,0,0,1,0,1,0,0,0,Female,1.0,1003.0
117,1357,98,74,73,2.0,R,3.79,0,0,0,0,0,1,0,0,0,0,0,Male,0.0,0.0
118,1358,65,56,49,4.0,A,3.75,0,0,1,0,2,0,0,0,1,1,0,Male,0.0,1556.0
