GRE APT Verb Percentile,GRE APT Quant Percentile,GRE APT Analyt Percentile,tiers,admit_code,GPA_Merged,Master's Held,Doctorate Held,Bachelor's Held,Special Degree Held,Count: Arts,Count: GAE,Count: Research,Count: Service,Count: Leadership,Count: Competition,Gender,Ethnicity,First Generation,work_experience_int
53,48,73,2.0,R,3.95,0,0,0,0,0,0,0,0,0,0,Female,Asian,0.0,0.0
80,17,73,4.0,A,3.68,0,0,0,0,0,2,0,0,0,0,Female,White,1.0,212.0
77,94,49,4.0,R,3.0,0,0,0,0,0,0,0,0,0,0,Male,Not Reported,0.0,0.0
89,64,92,2.0,R,3.59,0,0,0,0,0,1,0,0,0,0,Male,White,0.0,0.0
36,23,30,4.0,D,3.37,0,0,1,0,0,1,0,0,1,0,Male,Hispanic,0.0,0.0
65,92,11,2.0,R,3.0,0,0,0,0,0,1,0,0,0,0,Male,Not Reported,0.0,0.0
99,99,92,3.0,A,4.0,0,0,1,0,0,0,0,0,0,0,Female,Asian,0.0,639.0
96,74,73,1.0,R,3.71,0,0,0,0,0,2,0,0,0,0,Female,White,0.0,0.0
73,94,11,4.0,A,3.0,0,0,0,0,0,1,0,0,0,2,Male,Not Reported,0.0,0.0
28,98,11,4.0,R,4.0,0,0,0,0,0,0,0,0,0,0,Female,Not Reported,0.0,0.0
86,60,73,2.0,R,3.98,0,0,0,0,0,0,2,0,0,0,Female,White,0.0,0.0
36,5,92,3.0,R,3.54,0,0,0,0,0,0,0,0,0,0,Female,White,0.0,0.0
73,39,96,2.0,A,3.82,0,0,0,0,0,0,0,0,0,0,Female,White,0.0,0.0
98,34,96,4.0,A,3.39,1,0,0,0,0,1,0,0,0,0,Female,Not Reported,0.0,2557.0
63,91,45,4.0,R,3.25,1,0,0,0,0,0,0,0,1,0,Female,Asian,0.0,0.0
82,54,67,2.0,A,3.51,0,0,1,0,0,1,0,0,0,0,Female,White,0.0,1676.0
89,61,29,2.0,A,3.36,0,0,1,0,0,0,0,0,0,0,Female,White,0.0,0.0
96,77,73,2.0,A,3.84,0,0,1,0,0,1,0,0,0,0,Female,Hispanic,0.0,1827.0
96,81,92,2.0,A,3.81,0,0,0,0,0,2,0,0,0,0,Female,White,0.0,0.0
73,74,73,1.0,R,3.0,0,0,0,0,0,0,0,0,0,0,Female,White,0.0,0.0
15,56,49,2.0,D,3.4,0,0,0,0,0,0,0,0,0,0,Male,White,0.0,0.0
53,94,30,4.0,R,4.0,0,0,0,0,0,1,1,0,0,1,Female,Not Reported,0.0,0.0
73,56,49,4.0,D,3.21,0,0,0,0,0,0,0,0,0,0,Male,White,0.0,0.0
83,81,73,2.0,A,3.44,0,0,1,0,0,0,0,0,0,0,Female,White,0.0,1400.0
98,74,96,4.0,A,4.0,0,0,1,0,0,2,0,0,0,0,Female,White,0.0,3499.0
65,64,73,4.0,R,3.9,0,0,0,0,0,0,1,0,0,0,Female,Not Reported,0.0,0.0
18,90,11,4.0,D,3.0,0,0,0,0,0,0,0,0,0,0,Female,Not Reported,0.0,0.0
80,64,30,4.0,A,3.79,0,0,0,0,0,1,1,0,0,0,Female,White,0.0,0.0
77,52,92,4.0,R,3.61,0,0,1,0,0,1,0,0,0,0,Female,White,0.0,0.0
73,64,73,1.0,R,3.47,0,0,0,0,0,1,0,0,0,0,Female,Black or African American,0.0,0.0
98,94,30,2.0,R,3.78,0,0,0,0,0,1,0,0,0,1,Male,Not Reported,0.0,0.0
92,42,32,0.0,A,3.55,0,0,1,0,0,0,0,0,0,0,Male,Not Reported,0.0,0.0
80,31,73,1.0,A,3.8,0,0,1,0,0,0,0,0,0,0,Female,White,0.0,426.0
90,86,96,2.0,R,3.92,0,0,0,0,0,1,1,0,0,0,Female,White,0.0,0.0
97,52,96,4.0,A,3.97,1,0,0,0,0,2,0,0,0,0,Female,White,1.0,8461.0
28,97,30,4.0,A,3.0,0,0,1,0,0,1,0,0,0,0,Female,Not Reported,0.0,0.0
